exporter,value_trln_USD,quantity_mln_metric_tons
IDN,0.08045876,466.69312310
IRN,-0.01586694,13.44124161
IRQ,0.03666066,148.77836660
IRL,0.09671673,-22.22854498
ISR,-0.00863385,-17.74740240
ITA,0.00288789,-177.95410889
CIV,0.00296410,-6.85558162
JAM,-0.00612951,-0.34753287
JPN,0.00979606,-502.93348540
KAZ,0.03026881,118.47919552
JOR,-0.01309305,0.23853817
KEN,-0.01231552,-16.21634907
PRK,-0.00167643,-1.52543074
KOR,0.16380817,-142.74299166
KWT,0.03046365,108.67305724
KGZ,-0.01385267,-4.39134975
LAO,0.00064809,10.22484650
LBN,-0.01458721,-7.29986685
LSO,-0.00058070,-1.43120176
LVA,-0.00443461,4.54536835
LBR,-0.01113428,-3.83101107
LBY,0.01296246,75.40354379
LTU,-0.00561180,-0.94727971
LUX,-0.00715026,-8.60904499
MAC,-0.01062376,-104.72956708
MDG,-0.00083950,-5.30544416
MWI,-0.00227247,-1.81166436
MYS,0.11020505,76.58334769
MDV,-0.00349030,-8.64357661
MLI,0.00017958,-6.59959594
MLT,-0.00247867,-4.03739063
MRT,-0.00038943,9.95932668
MUS,-0.00386784,-3.67486804
MEX,0.07452132,-34.27498894
S19,0.18261147,-190.45060390
MNG,0.00826801,52.06936215
MDA,-0.00416180,-1.25056932
MNE,-0.00324545,-1.32595638
MSR,-0.00004683,0.06977844
MAR,-0.02272186,-45.71752782
MOZ,-0.00605352,-0.99282285
OMN,0.03015837,87.79192202
NAM,-0.00114025,-0.77083599
NRU,0.00013790,0.14508636
NPL,-0.00906649,-9.24743690
NLD,-0.05673907,-150.35989846
CUW,-0.00083667,-0.44750477
ABW,-0.00124724,-0.44057564
SXM,-0.00096634,-0.24482352
BES,-0.00067725,-1.20678391
NCL,-0.00056478,1.08732439
VUT,-0.00027429,-0.16486302
NZL,-0.00573284,9.34268931
NIC,-0.00255047,-4.07787514
NER,-0.00127865,-1.37683600
NGA,-0.00735833,53.59331261
NIU,-0.00001204,-0.00678945
NFK,-0.00002935,-0.01190060
NOR,0.08908943,211.00417015
MNP,-0.00013722,-0.13582132
FSM,0.00006368,0.04168561
MHL,-0.00647627,-5.35355002
PLW,-0.00016034,-0.05052353
PAK,-0.02230838,-34.58277183
PAN,-0.02819990,-20.18080484
PNG,0.00723201,9.40832783
PRY,-0.00413436,8.44945486
PER,0.01457199,21.87112007
PHL,-0.03588727,-239.85190440
PCN,-0.00000522,-0.00219445
POL,-0.02509683,-48.53660583
PRT,-0.03103223,-25.76318999
GNB,-0.00045907,-0.41962089
TLS,-0.00082550,-0.86559542
QAT,0.08161197,119.38190943
ROU,-0.02904567,-16.42189334
RUS,0.18672388,619.10687550
RWA,-0.00085318,-2.00950220
BLM,-0.00001245,-0.00103303
SHN,-0.00002507,-0.03071366
KNA,-0.00023920,-0.12455560
AIA,-0.00020479,-0.10732074
LCA,-0.00091744,-0.74080751
SPM,-0.00005630,-0.01957650
VCT,-0.00051547,-0.50747464
SMR,-0.00016441,-0.06802873
STP,-0.00012778,-0.07823902
SAU,0.09865394,456.61456542
SEN,-0.00936556,-8.66316650
SRB,-0.00630456,-11.15569668
SYC,-0.00088684,-0.73965075
SLE,-0.00036846,9.09194797
IND,-0.22628782,-568.80173121
SGP,-0.08865421,-144.60036928
SVK,-0.00292074,-8.32604410
VNM,0.14620086,-80.65391491
SVN,-0.00190091,-4.73807831
SOM,-0.00418875,-3.85976172
ZAF,0.05028593,161.90819411
ZWE,-0.00029942,-2.88795154
ESP,-0.04716753,-76.07326158
SSD,-0.00091613,-0.40184121
SDN,-0.00116769,-0.88209744
SUR,0.00030823,-0.15886476
SWZ,0.00023984,-0.05893030
SWE,0.00999288,8.00848095
CHE,0.01896851,-29.87242564
SYR,-0.00292579,-3.01930644
TJK,-0.00499283,-2.31609358
THA,0.04996127,-348.48321064
TGO,-0.00532463,-5.09663547
TKL,0.00014682,0.00546549
TON,-0.00025702,-0.15979088
TTO,0.00453655,17.33137224
ARE,-0.02797645,464.20530062
TUN,-0.00235131,-4.22995472
TUR,-0.06417493,-84.28265330
TKM,0.01058230,21.99173479
TCA,-0.00046036,-0.37569214
TUV,-0.00004666,-0.02927456
UGA,-0.00493049,-3.61857498
UKR,-0.02286276,72.79548454
MKD,-0.00224492,-3.68210193
EGY,-0.03708520,-21.83727945
GBR,-0.31399066,-138.33592956
TZA,-0.00630410,-6.18607315
USA,-1.14435582,116.91938232
BFA,0.00220349,-6.24402576
URY,-0.00245823,-2.96126068
UZB,-0.01373237,-19.19587242
VEN,-0.00235580,10.87285024
WLF,-0.00005066,-0.03237216
WSM,-0.00048290,-0.35785965
YEM,-0.01080860,-9.47318134
ZMB,0.00521338,-0.07995097
