year,product_chapter,exporter,value_trln_USD
1995,88,AUS,0.00000037
1995,88,USA,0.00000003
1995,88,NZL,0.00000001
1995,89,JPN,0.00004701
1995,89,DEU,0.00000213
1995,89,AUS,0.00000005
1995,89,USA,0.00000004
1995,89,NZL,0.00000002
1995,90,JPN,0.00000226
1995,90,AUS,0.00000053
1995,90,USA,0.00000025
1995,90,NZL,0.00000012
1995,90,FRA,0.00000007
1995,90,Other,0.00000014
1995,91,AUS,0.00000017
1995,91,SGP,0.00000003
1995,91,CHE,0.00000002
1995,91,HKG,0.00000002
1995,91,JPN,0.00000000
1995,91,Other,0.00000000
1995,92,JPN,0.00000000
1995,92,AUS,0.00000000
1995,92,NZL,0.00000000
1995,92,HKG,0.00000000
1995,92,SGP,0.00000000
1995,93,AUS,0.00000004
1995,94,JPN,0.00000075
1995,94,AUS,0.00000043
1995,94,CHN,0.00000035
1995,94,NZL,0.00000025
1995,94,HKG,0.00000018
1995,94,Other,0.00000018
1995,95,AUS,0.00000049
1995,95,HKG,0.00000010
1995,95,FRA,0.00000004
1995,95,NZL,0.00000003
1995,95,SGP,0.00000002
1995,95,Other,0.00000002
1995,96,AUS,0.00000016
1995,96,NZL,0.00000002
1995,96,SGP,0.00000002
1995,96,FRA,0.00000002
1995,96,HKG,0.00000002
1995,96,Other,0.00000003
1995,97,AUS,0.00000003
1995,97,FRA,0.00000001
1996,10,NZL,0.00000007
1996,11,AUS,0.00000085
1996,11,NZL,0.00000003
1996,12,AUS,0.00000012
1996,12,NZL,0.00000008
1996,12,SGP,0.00000001
1996,13,AUS,0.00000002
1996,13,NZL,0.00000000
1996,14,AUS,0.00000001
1996,14,NZL,0.00000000
1996,15,SGP,0.00000023
1996,15,AUS,0.00000020
1996,15,FRA,0.00000008
1996,15,MYS,0.00000000
1996,15,NZL,0.00000000
1996,16,CHL,0.00000049
1996,16,CHN,0.00000015
1996,16,AUS,0.00000011
1996,16,THA,0.00000006
1996,16,SGP,0.00000003
1996,16,Other,0.00000001
1996,17,AUS,0.00000027
1996,17,NZL,0.00000002
1996,17,HKG,0.00000002
1996,17,SGP,0.00000001
1996,18,AUS,0.00000011
1996,18,SGP,0.00000001
1996,18,FRA,0.00000000
1996,18,IRL,0.00000000
1996,18,NZL,0.00000000
1996,19,AUS,0.00000043
1996,19,SGP,0.00000004
1996,19,HKG,0.00000003
1996,19,NZL,0.00000003
1996,19,CHN,0.00000002
1996,19,Other,0.00000001
1996,20,AUS,0.00000081
1996,20,NZL,0.00000013
1996,20,USA,0.00000002
1996,20,FRA,0.00000002
1996,20,SGP,0.00000001
1996,20,Other,0.00000002
1996,21,AUS,0.00000031
1996,21,NZL,0.00000007
1996,21,HKG,0.00000005
1996,21,FRA,0.00000004
1996,21,CHN,0.00000002
1996,21,Other,0.00000002
1996,22,AUS,0.00000129
1996,22,NZL,0.00000042
1996,22,FRA,0.00000031
1996,22,SGP,0.00000007
1996,22,GBR,0.00000005
1996,22,Other,0.00000003
1996,23,AUS,0.00000029
1996,23,NZL,0.00000000
1996,24,AUS,0.00000087
1996,24,CHN,0.00000000
1996,25,NZL,0.00000025
1996,25,AUS,0.00000020
1996,25,CRI,0.00000001
1996,25,THA,0.00000001
1996,25,FRA,0.00000001
1996,27,DZA,0.00000171
1996,27,CIV,0.00000156
1996,27,ITA,0.00000135
1996,27,THA,0.00000129
1996,27,AUS,0.00000118
1996,27,Other,0.00000199
1996,28,AUS,0.00000006
1996,28,NZL,0.00000004
1996,28,USA,0.00000000
1996,28,FRA,0.00000000
1996,29,NZL,0.00000002
1996,29,AUS,0.00000002
1996,29,HKG,0.00000002
1996,29,SGP,0.00000001
1996,29,FRA,0.00000001
1996,30,NZL,0.00000024
