imports_trln_USD,exports_trln_USD
0.00000244,0.00000002
0.00004533,0.00001027
0.00008533,0.00005690
0.00013752,0.00012641
0.00017113,0.00008571
0.00081689,0.00024817
0.00057312,0.00002829
0.00007753,0.00001605
0.00000403,0.00000049
0.00007044,0.00024303
0.00000776,0.00000003
0.00002218,0.00000032
0.00006903,0.00008190
0.00001285,0.00001285
0.00007106,0.00001976
0.00007667,0.00000355
0.00306972,0.00018712
0.00178022,0.00007184
0.00010926,0.00000023
0.00103086,0.00001086
0.00078912,0.00000752
0.00009408,0.00000666
0.00054922,0.00003646
0.00002986,0.00000172
0.00000267,0.00000048
0.00012073,0.00000005
0.00010540,0.00006222
0.00005695,0.00000301
0.00004662,0.00000693
0.00000236,0.00002140
0.00155498,0.00025155
0.00001875,0.00001053
0.00017692,0.00003616
0.00000992,0.00000104
0.00000321,0.00000087
0.00031669,0.00002213
0.00006549,0.00000042
0.00021779,0.00006986
0.00001299,0.00000242
0.00002330,0.00000687
0.00019800,0.00003825
0.00005240,0.00008259
0.00001141,0.00001095
0.00037858,0.00002063
0.00038228,0.00001564
0.00007175,0.00012435
0.00019866,0.00000841
0.00084007,0.00225303
0.00019820,0.00012123
0.00046406,0.00001693
0.00049431,0.00006870
0.00003702,0.00019991
0.00016855,0.00000602
0.00005904,0.00002188
0.00005887,0.00004428
0.00002675,0.00000048
0.00000664,0.00000328
0.00004649,0.00000261
0.00020261,0.00002464
0.00071936,0.00011224
0.00036893,0.00005497
0.00000425,0.00007070
0.00002009,0.00000407
0.00000366,0.00000017
0.00052520,0.00000598
0.00000101,0.00000021
0.00000080,0.00000083
0.00004342,0.00000074
0.00047309,0.00004274
0.00004893,0.00001789
0.00000902,0.00001337
0.00002319,0.00000057
0.00017588,0.00040200
0.00002051,0.00002493
0.00019205,0.00001917
0.00015149,0.00001954
0.00002127,0.00000928
0.00000426,0.00010162
0.00001918,0.00000207
0.00002708,0.00000740
0.00002981,0.00001047
0.00012114,0.00034845
0.00018731,0.00033077
0.00001583,0.00012053
0.00004831,0.00000870
0.00000357,0.00000100
0.00000195,0.00000001
0.00000344,0.00000004
0.00004341,0.00001477
0.00006393,0.00005810
0.00010934,0.00015815
0.00019898,0.00009374
0.00088988,0.00025212
0.00054452,0.00007731
0.00010725,0.00001933
0.00000321,0.00000008
0.00007803,0.00023699
0.00000518,0.00000036
0.00001870,0.00000021
0.00006070,0.00007610
0.00000840,0.00001658
0.00006104,0.00001801
0.00007239,0.00000340
0.00261802,0.00014461
0.00152855,0.00009196
0.00004588,0.00000030
0.00092016,0.00000846
0.00090610,0.00000121
0.00013493,0.00000033
0.00056323,0.00004646
0.00002843,0.00000219
0.00000202,0.00000048
0.00009083,0.00000002
0.00008724,0.00006121
0.00005207,0.00000310
0.00004151,0.00000766
0.00001571,0.00004200
0.00168977,0.00016042
0.00001218,0.00000330
0.00016142,0.00005368
0.00000869,0.00000091
0.00000460,0.00000098
0.00036773,0.00002678
0.00005162,0.00000068
0.00018042,0.00007730
0.00002044,0.00000286
0.00002581,0.00000694
0.00022462,0.00003873
0.00004671,0.00007332
0.00001035,0.00000996
0.00037291,0.00002375
0.00030579,0.00002016
0.00005538,0.00023207
0.00021536,0.00000743
0.00082179,0.00239415
0.00019730,0.00013029
0.00046766,0.00001621
0.00050053,0.00009325
0.00004476,0.00018373
0.00018453,0.00000631
0.00006567,0.00004430
0.00005714,0.00004895
0.00003018,0.00000072
0.00000909,0.00000209
0.00004329,0.00000385
0.00021340,0.00003469
0.00061803,0.00014212
0.00037290,0.00006356
0.00000323,0.00008579
0.00001750,0.00000368
0.00000110,0.00000003
0.00052810,0.00000660
0.00000411,0.00000015
0.00000072,0.00000093
0.00004775,0.00000123
0.00037916,0.00004562
0.00004045,0.00001769
0.00000831,0.00001365
0.00002248,0.00000107
0.00017169,0.00044642
0.00002279,0.00003381
0.00021340,0.00001890
0.00012129,0.00003291
0.00002154,0.00001235
0.00000736,0.00011935
0.00001924,0.00000634
0.00002934,0.00001017
0.00004079,0.00001163
0.00007223,0.00042211
0.00009050,0.00032022
0.00001834,0.00013232
0.00004167,0.00001007
0.00000235,0.00000124
0.00000170,0.00000004
0.00000401,0.00000000
0.00004637,0.00016733
0.00006491,0.00006509
0.00012491,0.00021236
0.00018279,0.00021353
0.00092365,0.00043829
0.00049986,0.00005043
0.00011432,0.00006740
0.00000357,0.00000016
0.00008337,0.00022413
0.00000586,0.00000462
0.00001726,0.00000025
0.00005869,0.00011337
0.00000844,0.00001898
0.00005857,0.00001161
0.00012255,0.00000573
0.00233226,0.00016373
0.00125330,0.00013441
0.00001796,0.00000033
0.00088704,0.00001753
0.00064671,0.00000121
0.00002216,0.00000523
0.00047395,0.00005181
0.00002466,0.00000265
0.00000211,0.00000061
0.00015122,0.00000003
0.00007367,0.00006727
