imports_trln_USD,exports_trln_USD
0.00010462,0.00019357
0.00008605,0.00001216
0.00003927,0.00007124
0.00003787,0.00009568
0.00016148,0.00004183
0.00015427,0.00019988
0.00035282,0.00054516
0.00612579,0.00158168
0.00010166,0.00063627
0.00018908,0.00023414
0.00042164,0.00007491
0.00002905,0.00050082
0.00011352,0.00009021
0.00014939,0.00002298
0.00007903,0.00001203
0.00002488,0.00011928
0.00000941,0.00000322
0.00002337,0.00000160
0.00020425,0.00005175
0.00055008,0.00012735
0.00023760,0.00036276
0.00004831,0.00011714
0.00001483,0.00001139
0.00002348,0.00001219
0.00007840,0.00023255
0.00000317,0.00000015
0.00000035,0.00000006
0.00004821,0.00000057
0.00043332,0.00033382
0.00004642,0.00002897
0.00000135,0.00000656
0.00008069,0.00000984
0.00010810,0.00000582
0.00001114,0.00000517
0.00013029,0.00005392
0.00014491,0.00000745
0.00003425,0.00001631
0.00002091,0.00000705
0.00002998,0.00000038
0.00005248,0.00001054
0.00004513,0.00000144
0.00005725,0.00008170
0.00008718,0.00046708
0.00004517,0.00002332
0.00010032,0.00008335
0.00000159,0.00000187
0.00000137,0.00000017
0.00000064,0.00000065
0.00006159,0.00003649
0.00009497,0.00004689
0.00005869,0.00006366
0.00010524,0.00011649
0.00031172,0.00610107
0.00019610,0.00065454
0.00007485,0.00026895
0.00005383,0.00000639
0.00010904,0.00038029
0.00000436,0.00000407
0.00002681,0.00000076
0.00006780,0.00001104
0.00001657,0.00008030
0.00005654,0.00029185
0.00004208,0.00001370
0.00190486,0.00121141
0.00080999,0.00047528
0.00007186,0.00016587
0.00079645,0.00018883
0.00007133,0.00014749
0.00001212,0.00013225
0.00033800,0.00008528
0.00001123,0.00000022
0.00000191,0.00000041
0.00000417,0.00000064
0.00012696,0.00007224
0.00002482,0.00003247
0.00003052,0.00000142
0.00000117,0.00000112
0.00005453,0.00114054
0.00001447,0.00001554
0.00003623,0.00005390
0.00001170,0.00000076
0.00000036,0.00000039
0.00012448,0.00039177
0.00003510,0.00001381
0.00010785,0.00011094
0.00010086,0.00011902
0.00002109,0.00002779
