product_chapter,0
66,{'53': 'Vegetable textile fibres; paper yarn and woven fabrics of paper yarn'}
67,{'75': 'Nickel and articles thereof'}
68,"{'34': 'Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster'}"
69,"{'27': 'Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes'}"
70,"{'24': 'Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body'}"
71,"{'59': 'Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use'}"
72,{'78': 'Lead and articles thereof'}
73,{'91': 'Clocks and watches and parts thereof'}
74,{'31': 'Fertilizers'}
75,"{'46': 'Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork'}"
76,"{'88': 'Aircraft, spacecraft, and parts thereof'}"
77,{'36': 'Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations'}
78,{'65': 'Headgear and parts thereof'}
79,"{'86': 'Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds'}"
80,"{'89': 'Ships, boats and floating structures'}"
81,{'93': 'Arms and ammunition; parts and accessories thereof'}
82,{'45': 'Cork and articles of cork'}
83,{'79': 'Zinc and articles thereof'}
84,"{'11': 'Products of the milling industry; malt, starches, inulin, wheat gluten'}"
85,"{'66': 'Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof'}"
86,"{'67': 'Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair'}"
